CompteurTemps	Temps	CxS0	CyS0	
1	0	0.648081	0.513119	
2	10	0.355687	0.604417	
3	20	0.329649	0.580579	
4	30	0.325915	0.55917	
5	40	0.325997	0.563743	
6	50	0.325846	0.564539	
7	60	0.325773	0.564012	
8	70	0.325842	0.564808	
9	80	0.325834	0.564913	
10	90	0.325822	0.56475	
11	100	0.325831	0.564817	
12	110	0.325832	0.564845	
