CompteurTemps	Temps	CxS	CyS	
1	0	0.318394	0.0996013	
2	0.05	0.0965371	0.110362	
3	0.1	0.0951708	0.00117554	
4	0.15	0.0818079	-0.00309446	
5	0.2	0.073492	-0.00546273	
6	0.25	0.0677209	-0.00733521	
7	0.3	0.0634471	-0.00886745	
8	0.35	0.0601312	-0.0102191	
9	0.4	0.0574791	-0.0114272	
10	0.45	0.0553002	-0.0125014	
11	0.5	0.0534797	-0.0134735	
12	0.55	0.0519346	-0.0143531	
13	0.6	0.0506069	-0.0151506	
